Date,Region,Product,Units,Revenue,Discount,Profit
2025-01-01,North,Phone,120,60000,5,12000
2025-01-02,South,Laptop,80,96000,10,18000
2025-01-03,East,Tablet,50,25000,0,5000
2025-01-04,West,Phone,150,75000,8,15000
2025-01-05,North,Laptop,60,72000,12,16000
2025-01-06,East,Tablet,45,22500,3,4000
2025-01-07,South,Phone,130,65000,5,13000
2025-01-08,West,Laptop,70,84000,10,17000
2025-01-09,North,Tablet,40,20000,2,3500
2025-01-10,South,Phone,160,80000,7,15500
2025-01-11,East,Laptop,55,66000,11,14500
2025-01-12,West,Tablet,65,32500,4,6000
2025-01-13,North,Phone,140,70000,6,14000
2025-01-14,South,Laptop,75,90000,9,17500
2025-01-15,East,Tablet,52,26000,3,4800
2025-01-16,West,Phone,145,72500,5,14800
